incident_id,incident_name,organisation,org_type,sector,country,incident_type,attack_vector,threat_actor,threat_actor_type,supply_chain,downstream_orgs_affected,date_occurred,date_discovered,date_disclosed,dwell_time_days,detection_method,records_affected,data_types_exposed,ransom_demanded_usd,ransom_paid,downtime_days,estimated_cost_usd,regulator_notified,severity,is_synthetic,source,notes
REAL-0014,Target POS breach,Target,private,Retail,US,Data breach,Third-party supplier credentials,Unattributed,Financially motivated,True,,2013-11-27,2013-12-12,2013-12-19,15,Law enforcement notification,110000000,credit_card|name|email|phone|postal_address,,not_applicable,0,292000000,yes,critical,False,Target 10-K filings; US Senate Commerce report,Initial access via an HVAC contractor's credentials — classic third-party pivot.
REAL-0027,Save the Children BEC fraud,Save the Children Federation,nonprofit,Humanitarian,US,Business email compromise,Phishing / email account takeover,Unattributed,Financially motivated,False,,2017-04-01,2017-05-01,2018-12-19,30,Internal detection,,not_applicable,,not_applicable,0,1000000,no,medium,False,"Save the Children IRS Form 990 (FY2017); Boston Globe, Dec 2018",Fake invoices for solar panels routed ~$1M to a fraudulent account. Charity BEC baseline.
REAL-0015,Maersk NotPetya destruction,A.P. Moller-Maersk,private,Logistics,DK,Destructive malware,Trojanised software update (M.E.Doc),Sandworm,Nation state,True,,2017-06-27,2017-06-27,2017-06-28,0,Internal detection,,not_applicable,,not_applicable,10,300000000,no,critical,False,Maersk statements; UK NCSC attribution (Feb 2018),"Collateral damage from a Ukraine-targeted wiper; ~4,000 servers rebuilt in 10 days."
REAL-0013,Equifax data breach,Equifax,private,Financial services,US,Data breach,Unpatched vulnerability (CVE-2017-5638),Unattributed (US DOJ indicted PLA members),Nation state,False,,2017-05-13,2017-07-29,2017-09-07,77,Internal detection,147900000,name|ssn|date_of_birth|postal_address|drivers_licence|credit_card,,not_applicable,0,1400000000,yes,critical,False,FTC settlement (Jul 2019); US House Oversight report,76 days undetected; expired cert on inspection tooling delayed detection.
<<<<<<< HEAD
SYN-01147,Ransomware at Barnesview NHS Trust,Barnesview NHS Trust,public,Education,SG,Ransomware,Compromised credentials,SlateWarden,Ransomware crew,False,,2019-01-04,2019-01-06,2019-01-08,2,Public leak / dark web,5036,email|name|postal_address,3151340,no,5,1087819,yes,low,True,synthetic (Faker),
SYN-01358,"DDoS at Matthews, Bell and Hunter","Matthews, Bell and Hunter",vendor,Software,AU,DDoS,Volumetric flood,Unattributed,Ransomware crew,False,,2019-01-11,2019-01-11,2019-01-13,0,Internal detection,,not_applicable,,not_applicable,1,,unknown,medium,True,synthetic (Faker),
SYN-01826,DDoS at Turner PLC,Turner PLC,vendor,Nonprofit technology,US,DDoS,Volumetric flood,Unattributed,Financially motivated,True,207,2019-01-04,2019-01-11,2019-01-17,7,Security vendor / MDR,2691,credentials|donation_history|email|name,,not_applicable,1,517424,yes,medium,True,synthetic (Faker),
SYN-01601,"Ransomware at Moss, Lee and Watson","Moss, Lee and Watson",private,Financial services,GB,Ransomware,Phishing,ObsidianKoi,Ransomware crew,False,,2019-01-14,2019-01-14,2019-01-16,0,Internal detection,45812,credit_card|email|name|phone|postal_address|ssn_or_ni_number,43275,undisclosed,6,5262284,yes,high,True,synthetic (Faker),
SYN-00864,Ransomware at Smith-Griffiths,Smith-Griffiths,private,Manufacturing,CA,Ransomware,Compromised credentials,AmberBastion,Ransomware crew,False,,2019-01-15,2019-01-17,2019-01-20,2,Internal detection,22396,credit_card|email|name|passport|phone|postal_address,1229981,yes,10,,yes,medium,True,synthetic (Faker),
SYN-01926,"Ransomware at Christian, Williams and Williamson","Christian, Williams and Williamson",private,Manufacturing,IN,Ransomware,Unpatched vulnerability,SlateWarden,Ransomware crew,False,,2019-01-14,2019-01-17,2019-01-18,3,Internal detection,3503,employment|health|name,5207927,no,2,718963,no,medium,True,synthetic (Faker),
SYN-00079,Ransomware at Shaunmouth Council,Shaunmouth Council,public,Local government,US,Ransomware,Unpatched vulnerability,TinCathedral,Ransomware crew,False,,2019-01-19,2019-01-23,2019-03-10,4,Customer report,2007,donation_history|postal_address,557295,no,21,1171062,yes,medium,True,synthetic (Faker),
SYN-00319,Ransomware at Shelter Appeal,Shelter Appeal,nonprofit,Charity/Nonprofit,US,Ransomware,Compromised credentials,NineSpindle,Ransomware crew,False,,2019-01-21,2019-01-23,2019-01-27,2,Security vendor / MDR,35094,credentials|donation_history|email|health|name|postal_address|ssn_or_ni_number,85631,yes,18,2915096,yes,high,True,synthetic (Faker),
SYN-00219,Ransomware at Taylor-Mason,Taylor-Mason,vendor,Nonprofit technology,US,Ransomware,Exposed RDP/VPN,NineSpindle,Ransomware crew,False,,2019-01-24,2019-01-26,2019-02-03,2,Security vendor / MDR,436632535,donation_history|email|health|name|passport|postal_address,31100,no,1,36601600157,yes,high,True,synthetic (Faker),
SYN-01139,Data breach at Marshall PLC,Marshall PLC,private,Healthcare,DE,Data breach,Unpatched vulnerability,RustVulture,Ransomware crew,False,,2019-01-18,2019-01-28,2019-02-02,10,Internal detection,15833,health|name,,not_applicable,11,,yes,high,True,synthetic (Faker),
SYN-01284,Ransomware at Walker-Miller,Walker-Miller,private,Financial services,GB,Ransomware,Exposed RDP/VPN,RustVulture,Ransomware crew,False,,2019-01-18,2019-01-28,2019-01-30,10,Third-party notification,6120457,email|internal_email|name|phone|postal_address|safeguarding_notes,1497391,no,6,441277101,yes,high,True,synthetic (Faker),
SYN-00006,Ransomware at Wellbeing Alliance,Wellbeing Alliance,nonprofit,Charity/Nonprofit,FR,Ransomware,Phishing,RustVulture,Ransomware crew,False,,2019-01-30,2019-01-30,2019-01-31,0,Internal detection,12615,donation_history|email|name|passport|phone|postal_address|ssn_or_ni_number,2728404,yes,21,,yes,high,True,synthetic (Faker),
SYN-01235,Data breach at Lake Aprilmouth Council,Lake Aprilmouth Council,public,Education,GB,Data breach,Unpatched vulnerability,Unattributed,Unknown,False,,2019-01-24,2019-01-30,2019-02-10,6,Third-party notification,2742,email|phone|postal_address,,not_applicable,1,820426,yes,low,True,synthetic (Faker),
SYN-01979,Data breach at South Crystal District Board,South Crystal District Board,public,Education,GB,Data breach,Compromised credentials,TinCathedral,Ransomware crew,False,,2019-01-11,2019-01-31,2019-02-12,20,Security vendor / MDR,130012,donation_history|email|health|name|phone|postal_address|ssn_or_ni_number,,not_applicable,1,14804904,yes,medium,True,synthetic (Faker),
SYN-00862,DDoS at Port Lindseymouth Authority,Port Lindseymouth Authority,public,Education,US,DDoS,Application-layer flood,Unattributed,Financially motivated,False,,2019-01-27,2019-02-05,2019-02-19,9,Third-party notification,8413,date_of_birth|email|internal_email|name|passport|postal_address|safeguarding_notes,,not_applicable,2,891067,yes,medium,True,synthetic (Faker),
SYN-00986,"Ransomware at Clark, Williams and Harvey","Clark, Williams and Harvey",vendor,Cloud/SaaS,IE,Ransomware,Unpatched vulnerability,QuietFathom,Ransomware crew,False,,2019-01-28,2019-02-08,2019-03-08,11,Public leak / dark web,1692718,donation_history|email|name|safeguarding_notes,3239646,undisclosed,38,249768475,unknown,critical,True,synthetic (Faker),
SYN-00838,Ransomware at East Sylviabury Authority,East Sylviabury Authority,public,Education,GB,Ransomware,Phishing,NorthQuarry,Ransomware crew,False,,2019-02-02,2019-02-10,2019-02-16,8,Security vendor / MDR,5433,email|phone,123537,no,16,720748,yes,medium,True,synthetic (Faker),
SYN-01292,Ransomware at Hospice Appeal,Hospice Appeal,nonprofit,Charity/Nonprofit,GB,Ransomware,Unpatched vulnerability,QuietFathom,Ransomware crew,False,,2019-01-18,2019-02-11,2019-02-13,24,Internal detection,8939,donation_history|employment|internal_email|name|postal_address|safeguarding_notes,913441,no,36,,yes,high,True,synthetic (Faker),
SYN-00408,Ransomware at Mendez and Sons,Mendez and Sons,private,Retail,US,Ransomware,Exposed RDP/VPN,QuietFathom,Ransomware crew,False,,2019-02-11,2019-02-13,2019-02-28,2,Public leak / dark web,15228233,bank_details|donation_history|email|health|name|postal_address,167382,yes,19,1004075095,yes,high,True,synthetic (Faker),
SYN-00508,Business email compromise at Bernard LLC,Bernard LLC,private,Retail,CA,Business email compromise,Compromised credentials,Unattributed,Unknown,False,,2019-01-28,2019-02-13,2019-03-03,16,Third-party notification,4041,internal_email|postal_address|safeguarding_notes,,not_applicable,0,942475,yes,medium,True,synthetic (Faker),
SYN-00626,Business email compromise at Heritage Network,Heritage Network,nonprofit,Charity/Nonprofit,US,Business email compromise,Phishing,Unattributed,Ransomware crew,False,,2019-02-03,2019-02-14,2019-02-17,11,Law enforcement notification,1826,email|name,,not_applicable,0,124963,yes,low,True,synthetic (Faker),
SYN-01481,Unauthorised access at Ramsey-Gilbert,Ramsey-Gilbert,private,Manufacturing,IN,Unauthorised access,Help-desk social engineering,Unattributed,Unknown,False,,2019-02-09,2019-02-14,2019-02-15,5,Internal detection,17143,credit_card|date_of_birth|email|health|phone,147199,undisclosed,0,947479,yes,medium,True,synthetic (Faker),
SYN-00627,Business email compromise at Williams-Jones,Williams-Jones,private,Logistics,GB,Business email compromise,Compromised credentials,Unattributed,Insider,False,,2019-01-15,2019-02-15,2019-02-24,31,Security vendor / MDR,9,email|health|passport|phone,,not_applicable,0,,yes,medium,True,synthetic (Faker),
SYN-00436,Ransomware at Herring-Johnson,Herring-Johnson,vendor,Software,AU,Ransomware,Compromised credentials,ObsidianKoi,Ransomware crew,False,,2019-02-13,2019-02-17,2019-02-21,4,Routine audit,9504,bank_details|credentials|date_of_birth|postal_address|ssn_or_ni_number,836465,no,9,2150325,unknown,medium,True,synthetic (Faker),
SYN-00701,Ransomware at South Gerard District Board,South Gerard District Board,public,Local government,GB,Ransomware,Unpatched vulnerability,TinCathedral,Ransomware crew,False,,2019-02-19,2019-02-19,2019-02-21,0,Law enforcement notification,108917,passport|phone|postal_address,19221,no,2,,yes,medium,True,synthetic (Faker),
SYN-01927,Ransomware at North Susan Authority,North Susan Authority,public,Education,GB,Ransomware,Exposed RDP/VPN,Unattributed,Ransomware crew,False,,2019-02-14,2019-02-24,2019-03-01,10,Third-party notification,24359,email|phone|postal_address,2985494,yes,14,2761693,yes,medium,True,synthetic (Faker),
=======
SYN-00864,Ransomware at Smith-Griffiths,Smith-Griffiths,private,Manufacturing,CA,Ransomware,Compromised credentials,AmberBastion,Ransomware crew,False,,2019-01-15,2019-01-17,2019-01-20,2,Internal detection,22396,credit_card|email|name|passport|phone|postal_address,1229981,yes,10,,yes,medium,True,synthetic (Faker),
SYN-00079,Ransomware at Shaunmouth Council,Shaunmouth Council,public,Local government,US,Ransomware,Unpatched vulnerability,TinCathedral,Ransomware crew,False,,2019-01-19,2019-01-23,2019-03-10,4,Customer report,2007,donation_history|postal_address,557295,no,21,1171062,yes,medium,True,synthetic (Faker),
SYN-00319,Ransomware at Shelter Appeal,Shelter Appeal,nonprofit,Charity/Nonprofit,US,Ransomware,Compromised credentials,NineSpindle,Ransomware crew,False,,2019-01-21,2019-01-23,2019-01-27,2,Security vendor / MDR,35094,credentials|donation_history|email|health|name|postal_address|ssn_or_ni_number,85631,yes,18,2915096,yes,high,True,synthetic (Faker),
